"시점","성별","연령계층별",취업자 (천명),실업자 (천명),실업률 (%),고용률 (%)
"2019. 07","계","40 - 49세",6492,154,2.3,78.3
"2019. 07","계","50 - 59세",6481,165,2.5,75.8
"2019. 07","계","60세이상",4873,131,2.6,42.9
"2019. 07","남자","계",15570,637,3.9,71.1
"2019. 07","남자","20 - 29세",1872,198,9.6,58.4
"2019. 07","남자","30 - 39세",3366,131,3.8,89.1
"2019. 07","남자","40 - 49세",3826,96,2.4,90.9
"2019. 07","남자","50 - 59세",3679,109,2.9,86.0
"2019. 07","남자","60세이상",2733,90,3.2,53.6
"2019. 07","여자","계",11813,460,3.7,52.2
"2019. 07","여자","20 - 29세",1915,208,9.8,59.0
"2019. 07","여자","30 - 39세",2175,82,3.6,62.2
"2019. 07","여자","40 - 49세",2666,58,2.1,65.3
"2019. 07","여자","50 - 59세",2802,56,2.0,65.5
"2019. 07","여자","60세이상",2139,42,1.9,34.3
"2019. 08","계","계",27358,858,3.0,61.4
"2019. 08","계","20 - 29세",3781,291,7.1,58.6
"2019. 08","계","30 - 39세",5518,173,3.0,76.0
"2019. 08","계","40 - 49세",6504,126,1.9,78.5
"2019. 08","계","50 - 59세",6453,150,2.3,75.4
"2019. 08","계","60세이상",4901,101,2.0,43.0
"2019. 08","남자","계",15565,514,3.2,71.0
"2019. 08","남자","20 - 29세",1870,156,7.7,58.4
"2019. 08","남자","30 - 39세",3355,110,3.2,89.0
"2019. 08","남자","40 - 49세",3839,67,1.7,91.3
"2019. 08","남자","50 - 59세",3665,101,2.7,85.7
"2019. 08","남자","60세이상",2753,71,2.5,53.7
"2019. 08","여자","계",11794,343,2.8,52.1
"2019. 08","여자","20 - 29세",1911,136,6.6,58.8
"2019. 08","여자","30 - 39세",2163,63,2.8,62.0
"2019. 08","여자","40 - 49세",2665,60,2.2,65.4
"2019. 08","여자","50 - 59세",2788,48,1.7,65.2
"2019. 08","여자","60세이상",2148,30,1.4,34.3
"2019. 09","계","계",27404,884,3.1,61.5
"2019. 09","계","20 - 29세",3780,302,7.4,58.6
"2019. 09","계","30 - 39세",5544,161,2.8,76.5
"2019. 09","계","40 - 49세",6484,143,2.2,78.3
"2019. 09","계","50 - 59세",6494,153,2.3,75.9
"2019. 09","계","60세이상",4931,114,2.3,43.1
"2019. 09","남자","계",15539,541,3.4,70.9
"2019. 09","남자","20 - 29세",1856,163,8.1,57.9
"2019. 09","남자","30 - 39세",3345,107,3.1,88.8
"2019. 09","남자","40 - 49세",3825,80,2.1,91.0
"2019. 09","남자","50 - 59세",3695,100,2.6,86.4
"2019. 09","남자","60세이상",2746,87,3.1,53.3
"2019. 09","여자","계",11865,342,2.8,52.4
"2019. 09","여자","20 - 29세",1925,139,6.7,59.2
"2019. 09","여자","30 - 39세",2199,54,2.4,63.2
"2019. 09","여자","40 - 49세",2659,63,2.3,65.3
"2019. 09","여자","50 - 59세",2799,53,1.9,65.4
"2019. 09","여자","60세이상",2185,27,1.2,34.7
"2019. 10","계","계",27509,864,3.0,61.7
"2019. 10","계","20 - 29세",3814,299,7.3,59.0
"2019. 10","계","30 - 39세",5515,170,3.0,76.2
"2019. 10","계","40 - 49세",6499,126,1.9,78.5
"2019. 10","계","50 - 59세",6502,145,2.2,76.0
"2019. 10","계","60세이상",4996,114,2.2,43.4
"2019. 10","남자","계",15606,520,3.2,71.1
"2019. 10","남자","20 - 29세",1870,151,7.5,58.3
"2019. 10","남자","30 - 39세",3336,113,3.3,88.7
"2019. 10","남자","40 - 49세",3841,74,1.9,91.4
"2019. 10","남자","50 - 59세",3699,91,2.4,86.4
"2019. 10","남자","60세이상",2776,87,3.0,53.6
"2019. 10","여자","계",11903,345,2.8,52.5
"2019. 10","여자","20 - 29세",1943,148,7.1,59.8
"2019. 10","여자","30 - 39세",2179,58,2.6,62.7
"2019. 10","여자","40 - 49세",2658,53,1.9,65.3
"2019. 10","여자","50 - 59세",2803,55,1.9,65.6
"2019. 10","여자","60세이상",2219,27,1.2,35.1
"2019. 11","계","계",27515,866,3.1,61.7
"2019. 11","계","20 - 29세",3819,291,7.1,59.1
"2019. 11","계","30 - 39세",5533,168,2.9,76.6
"2019. 11","계","40 - 49세",6484,141,2.1,78.4
"2019. 11","계","50 - 59세",6497,149,2.2,75.9
"2019. 11","계","60세이상",5006,108,2.1,43.3
"2019. 11","남자","계",15609,534,3.3,71.1
"2019. 11","남자","20 - 29세",1885,158,7.7,58.7
"2019. 11","남자","30 - 39세",3345,106,3.1,89.1
"2019. 11","남자","40 - 49세",3817,89,2.3,90.8
"2019. 11","남자","50 - 59세",3702,95,2.5,86.5
"2019. 11","남자","60세이상",2784,82,2.9,53.5
"2019. 11","여자","계",11906,332,2.7,52.5
"2019. 11","여자","20 - 29세",1934,134,6.5,59.5
"2019. 11","여자","30 - 39세",2187,61,2.7,63.1
"2019. 11","여자","40 - 49세",2668,52,1.9,65.6
"2019. 11","여자","50 - 59세",2795,54,1.9,65.4
"2019. 11","여자","60세이상",2222,27,1.2,35.0
"2019. 12","계","계",27154,942,3.4,60.8
"2019. 12","계","20 - 29세",3765,296,7.3,58.2
"2019. 12","계","30 - 39세",5551,154,2.7,77.0
"2019. 12","계","40 - 49세",6483,128,1.9,78.4
"2019. 12","계","50 - 59세",6463,144,2.2,75.5
"2019. 12","계","60세이상",4705,206,4.2,40.5
"2019. 12","남자","계",15515,536,3.3,70.6
"2019. 12","남자","20 - 29세",1867,164,8.1,58.0
"2019. 12","남자","30 - 39세",3361,81,2.4,89.6
"2019. 12","남자","40 - 49세",3820,79,2.0,90.9
"2019. 12","남자","50 - 59세",3699,85,2.2,86.4
"2019. 12","남자","60세이상",2687,121,4.3,51.4
"2019. 12","여자","계",11638,406,3.4,51.3
"2019. 12","여자","20 - 29세",1898,133,6.5,58.4
"2019. 12","여자","30 - 39세",2190,73,3.2,63.3
"2019. 12","여자","40 - 49세",2663,48,1.8,65.5
"2019. 12","여자","50 - 59세",2763,60,2.1,64.6
"2019. 12","여자","60세이상",2019,85,4.1,31.6
"2020. 01","계","계",26800,1153,4.1,60.0
"2020. 01","계","20 - 29세",3751,304,7.5,58.1
"2020. 01","계","30 - 39세",5518,163,2.9,76.7
"2020. 01","계","40 - 49세",6455,132,2.0,78.1
"2020. 01","계","50 - 59세",6373,187,2.8,74.5
"2020. 01","계","60세이상",4497,342,7.1,38.6
"2020. 01","남자","계",15324,626,3.9,69.7
"2020. 01","남자","20 - 29세",1840,165,8.2,57.4
"2020. 01","남자","30 - 39세",3358,82,2.4,89.7
