"BLCK_CD(블록_코드)","ADSTRD_CD(행정동_코드)"
"10865","11380530"
"10866","11380530"
"10869","11380530"
"10870","11380530"
"10871","11380530"
"10872","11380530"
"10873","11380530"
"10874","11380625"
"10875","11380530"
"10876","11380530"
"10877","11380530"
"10878","11380625"
"10879","11380530"
"10880","11380530"
"10881","11380530"
"10882","11380530"
"10884","11380530"
"10885","11380530"
"10886","11380530"
"10887","11380530"
"10889","11380530"
"10890","11380530"
"10891","11380530"
"10892","11380530"
"10893","11380530"
"10898","11380625"
"10899","11380530"
"109","11590620"
"10900","11380530"
"10902","11380530"
"10903","11380530"
"10904","11380530"
"10905","11380530"
"10906","11380530"
"109064","11380510"
"10908","11380530"
"10909","11380530"
"10910","11380530"
"10911","11380530"
"10912","11380530"
"10913","11380530"
"109139","11650651"
"10914","11380530"
"109155","11650651"
"10916","11380530"
"10917","11380625"
"10921","11380530"
"10924","11380530"
"10925","11380625"
"10926","11380625"
"10930","11380530"
"10931","11470510"
"10932","11380530"
"10933","11380530"
"10934","11380530"
"10935","11380530"
"10936","11380530"
"10937","11380530"
"109378","11650651"
"10938","11380530"
"10941","11380530"
"10942","11380530"
"10943","11380530"
"10944","11380530"
"10945","11380530"
"10946","11380530"
"109464","11650651"
"10947","11380530"
"10948","11380530"
"10949","11380625"
"10950","11380625"
"10951","11380530"
"10952","11380530"
"10953","11380625"
"10957","11380530"
"10958","11380530"
"10959","11380530"
"10960","11380530"
"109603","11650651"
"10963","11380625"
"10964","11380530"
"10965","11380530"
"10967","11380625"
"10968","11380625"
"10969","11380625"
"10970","11380625"
"10971","11380625"
"10973","11380625"
"10974","11380625"
"10975","11380625"
"10977","11380625"
"109774","11710641"
"10978","11470530"
"10979","11380625"
"10981","11380625"
"10982","11380625"
"10983","11380625"
"10984","11380625"
"10985","11380625"
"109877","11320680"
"10988","11380625"
"10989","11380625"
"10990","11380625"
"10991","11380625"
"10992","11380625"
"10993","11380625"
"10994","11380625"
"10995","11380625"
"10996","11380625"
"10997","11380625"
"10998","11380625"
"109981","11320680"
"10999","11380625"
"11001","11380625"
"11003","11380625"
"11004","11470530"
"11005","11380625"
"11006","11380625"
"11007","11380625"
"11008","11380625"
"11009","11470510"
"11010","11380625"
"11011","11380625"
"110115","11500620"
"11012","11380625"
"11013","11380625"
"11015","11470530"
"11016","11470530"
