,일별,save_scaled_train
403,2019-02-08,[0.73944125]
404,2019-02-09,[0.68608878]
405,2019-02-10,[0.34669247]
406,2019-02-11,[0.65881169]
407,2019-02-12,[0.69180524]
408,2019-02-13,[0.69775979]
409,2019-02-14,[0.7218197]
410,2019-02-15,[0.74102182]
411,2019-02-16,[0.72473067]
412,2019-02-17,[0.41392433]
413,2019-02-18,[0.66557843]
414,2019-02-19,[0.63062564]
415,2019-02-20,[0.69510361]
416,2019-02-21,[0.72462466]
417,2019-02-22,[0.79596692]
418,2019-02-23,[0.75076749]
419,2019-02-24,[0.39528965]
420,2019-02-25,[0.74732622]
421,2019-02-26,[0.81270356]
422,2019-02-27,[0.83059417]
423,2019-02-28,[0.98134198]
424,2019-03-01,[0.58903281]
425,2019-03-02,[0.6922574]
426,2019-03-03,[0.43349801]
427,2019-03-04,[0.71812357]
428,2019-03-05,[0.68643688]
429,2019-03-06,[0.67134446]
430,2019-03-07,[0.68771836]
431,2019-03-08,[0.79121685]
432,2019-03-09,[0.80849548]
433,2019-03-10,[0.41952503]
434,2019-03-11,[0.61858527]
435,2019-03-12,[0.6372502]
436,2019-03-13,[0.65257242]
437,2019-03-14,[0.67687188]
438,2019-03-15,[0.7108146]
439,2019-03-16,[0.76675147]
440,2019-03-17,[0.44442181]
441,2019-03-18,[0.61960722]
442,2019-03-19,[0.66152197]
443,2019-03-20,[0.60351476]
444,2019-03-21,[0.6693755]
445,2019-03-22,[0.77010361]
446,2019-03-23,[0.72885806]
447,2019-03-24,[0.3883097]
448,2019-03-25,[0.67404405]
449,2019-03-26,[0.74036338]
450,2019-03-27,[0.73290319]
451,2019-03-28,[0.78472135]
452,2019-03-29,[0.90849773]
453,2019-03-30,[0.73220445]
454,2019-03-31,[0.46267476]
455,2019-04-01,[0.66336647]
456,2019-04-02,[0.668693]
457,2019-04-03,[0.66412847]
458,2019-04-04,[0.64604726]
459,2019-04-05,[0.73468938]
460,2019-04-06,[0.70065462]
461,2019-04-07,[0.45548426]
462,2019-04-08,[0.61678299]
463,2019-04-09,[0.58231223]
464,2019-04-10,[0.61175904]
465,2019-04-11,[0.64295785]
466,2019-04-12,[0.74121738]
467,2019-04-13,[0.72689608]
468,2019-04-14,[0.3615106]
469,2019-04-15,[0.61696314]
470,2019-04-16,[0.65606711]
471,2019-04-17,[0.66091779]
472,2019-04-18,[0.61550057]
473,2019-04-19,[0.74340888]
474,2019-04-20,[0.70785894]
475,2019-04-21,[0.42018735]
476,2019-04-22,[0.62685003]
477,2019-04-23,[0.66576604]
478,2019-04-24,[0.68801729]
